product_id,product_name,category,subcategory,cost_price
P0080,Curtains,Home,Curtains,25023.19
P0081,Shirt,Clothing,Shirt,22020.57
P0082,Education,Books,Education,3713.57
P0083,T-Shirt,Clothing,T-Shirt,4312.88
P0084,Novel,Books,Novel,38481.21
P0085,Shirt,Clothing,Shirt,6028.15
P0086,Biography,Books,Biography,36988.97
P0087,Camera,Electronics,Camera,462.27
P0088,Education,Books,Education,13971.87
P0089,Speaker,Electronics,Speaker,24835.06
P0090,Chair,Home,Chair,25597.65
P0091,Novel,Books,Novel,923.83
P0092,Education,Books,Education,7720.19
P0093,Jeans,Clothing,Jeans,4275.63
P0094,Biography,Books,Biography,17601.77
P0095,Novel,Books,Novel,44563.09
P0096,T-Shirt,Clothing,T-Shirt,19720.39
P0097,Curtains,Home,Curtains,37292.52
P0098,Mobile,Electronics,Mobile,35459.22
P0099,Lamp,Home,Lamp,31313.8
P0100,Jeans,Clothing,Jeans,15076.77
P0101,Education,Books,Education,41173.73
P0102,Mobile,Electronics,Mobile,26625.43
P0103,Biography,Books,Biography,8860.76
P0104,Laptop,Electronics,Laptop,22419.91
P0105,Sofa,Home,Sofa,22095.04
P0106,Camera,Electronics,Camera,14910.03
P0107,Shirt,Clothing,Shirt,28551.51
P0108,Chair,Home,Chair,31264.66
P0109,Shoes,Clothing,Shoes,32819.47
P0110,Laptop,Electronics,Laptop,762.05
P0111,Jacket,Clothing,Jacket,31184.89
P0112,Novel,Books,Novel,3151.06
P0113,Speaker,Electronics,Speaker,39420.17
P0114,Speaker,Electronics,Speaker,30148.13
P0115,Biography,Books,Biography,37022.74
P0116,Laptop,Electronics,Laptop,16673.25
P0117,Chair,Home,Chair,7291.26
P0118,Biography,Books,Biography,13518.11
P0119,Mobile,Electronics,Mobile,12673.26
P0120,Comics,Books,Comics,6930.58
P0121,Novel,Books,Novel,22834.54
P0122,Jeans,Clothing,Jeans,5092.75
P0123,Speaker,Electronics,Speaker,23800.7
P0124,Shirt,Clothing,Shirt,44440.13
P0125,Magazine,Books,Magazine,36402.62
P0126,Sofa,Home,Sofa,22536.41
P0127,Table,Home,Table,37780.71
P0128,Curtains,Home,Curtains,3980.71
P0129,Shirt,Clothing,Shirt,39254.88
P0130,Table,Home,Table,19090.42
P0131,Lamp,Home,Lamp,10448.77
P0132,Comics,Books,Comics,32972.18
P0133,Magazine,Books,Magazine,1466.14
P0134,Laptop,Electronics,Laptop,47474.67
P0135,Laptop,Electronics,Laptop,25460.04
P0136,Mobile,Electronics,Mobile,23520.69
P0137,Novel,Books,Novel,29378.93
P0138,Lamp,Home,Lamp,8050.05
P0139,Laptop,Electronics,Laptop,37524.03
P0140,Biography,Books,Biography,9182.75
P0141,Mobile,Electronics,Mobile,37482.24
P0142,Sofa,Home,Sofa,9263.76
P0143,Speaker,Electronics,Speaker,22909.96
P0144,Biography,Books,Biography,22525.52
P0145,Curtains,Home,Curtains,44692.58
P0146,Jacket,Clothing,Jacket,28220.41
P0147,Education,Books,Education,31203.77
P0148,Jeans,Clothing,Jeans,34487.21
P0149,Education,Books,Education,23010.66
P0150,Lamp,Home,Lamp,20269.17
P0151,Comics,Books,Comics,9192.01
P0152,Camera,Electronics,Camera,6565.54
P0153,Chair,Home,Chair,47690.99
P0154,Biography,Books,Biography,44642.05
P0155,Jeans,Clothing,Jeans,3489.28
P0156,Mobile,Electronics,Mobile,45801.28
P0157,Comics,Books,Comics,447.53
P0158,Comics,Books,Comics,47939.39
P0159,Mobile,Electronics,Mobile,29469.41
P0160,Speaker,Electronics,Speaker,46935.85
P0161,Shoes,Clothing,Shoes,25220.83
P0162,Speaker,Electronics,Speaker,29734.06
P0163,Curtains,Home,Curtains,13976.34
P0164,Laptop,Electronics,Laptop,45203.15
P0165,Education,Books,Education,24061.14
P0166,Camera,Electronics,Camera,12586.22
P0167,Novel,Books,Novel,23512.06
P0168,Shoes,Clothing,Shoes,43974.41
P0169,Table,Home,Table,1885.69
P0170,Laptop,Electronics,Laptop,48597.18
P0171,Shirt,Clothing,Shirt,1117.63
P0172,Novel,Books,Novel,27757.36
P0173,Jeans,Clothing,Jeans,2775.65
P0174,Table,Home,Table,18659.91
P0175,Mobile,Electronics,Mobile,16309.43
P0176,Jacket,Clothing,Jacket,21599.0
P0177,Table,Home,Table,27417.99
P0178,Jacket,Clothing,Jacket,5500.74
P0179,Sofa,Home,Sofa,5733.03
P0180,Mobile,Electronics,Mobile,8770.92
P0181,Laptop,Electronics,Laptop,9065.18
P0182,Chair,Home,Chair,27559.34
P0183,Education,Books,Education,27748.27
P0184,Jeans,Clothing,Jeans,31501.29
P0185,Mobile,Electronics,Mobile,1551.23
P0186,Chair,Home,Chair,40437.67
P0187,Education,Books,Education,12893.14
P0188,Table,Home,Table,31730.86
P0189,Speaker,Electronics,Speaker,15963.06
P0190,Laptop,Electronics,Laptop,30198.88
P0191,Speaker,Electronics,Speaker,34233.72
P0192,Novel,Books,Novel,47964.69
P0193,Novel,Books,Novel,9334.92
P0194,Curtains,Home,Curtains,43316.19
P0195,Shoes,Clothing,Shoes,28821.73
P0196,Laptop,Electronics,Laptop,44133.32
P0197,Table,Home,Table,46748.26
P0198,Curtains,Home,Curtains,34069.73
P0199,Laptop,Electronics,Laptop,39437.95
P0200,Education,Books,Education,34668.68
P0201,Chair,Home,Chair,47099.75
P0202,Sofa,Home,Sofa,48848.89
P0203,Sofa,Home,Sofa,22008.4
P0204,Laptop,Electronics,Laptop,48995.99
P0205,Novel,Books,Novel,6557.75
P0206,Lamp,Home,Lamp,40886.04
P0207,Magazine,Books,Magazine,38587.37
P0208,Tv,Electronics,TV,10742.41
P0209,Jacket,Clothing,Jacket,42320.0
P0210,Lamp,Home,Lamp,44014.34
P0211,Curtains,Home,Curtains,19592.66
P0212,Novel,Books,Novel,13966.79
P0213,Comics,Books,Comics,19390.61
P0214,Table,Home,Table,20402.07
P0215,Education,Books,Education,24988.48
P0216,Shoes,Clothing,Shoes,45196.17
P0217,Table,Home,Table,14870.5
P0218,Biography,Books,Biography,17128.22
P0219,Jeans,Clothing,Jeans,10245.23
P0220,Jeans,Clothing,Jeans,2753.92
P0221,Chair,Home,Chair,20749.53
P0222,Speaker,Electronics,Speaker,31550.93
P0223,Camera,Electronics,Camera,33627.05
P0224,Novel,Books,Novel,10659.14
P0225,Chair,Home,Chair,25403.48
P0226,Lamp,Home,Lamp,27166.11
P0227,Chair,Home,Chair,29641.06
P0228,Chair,Home,Chair,45822.63
P0229,Jacket,Clothing,Jacket,22487.33
P0230,Tv,Electronics,TV,30333.03
P0231,Jeans,Clothing,Jeans,21809.86
P0232,Camera,Electronics,Camera,31533.32
P0233,Camera,Electronics,Camera,32031.44
P0234,Tv,Electronics,TV,25517.07
P0235,Comics,Books,Comics,10070.33
P0236,Education,Books,Education,294.78
P0237,Jacket,Clothing,Jacket,47449.87
P0238,Speaker,Electronics,Speaker,7883.17
P0239,Magazine,Books,Magazine,27906.16
P0240,Biography,Books,Biography,36108.46
P0241,Jacket,Clothing,Jacket,15950.13
P0242,Shirt,Clothing,Shirt,18525.15
P0243,Shirt,Clothing,Shirt,23701.42
P0244,Curtains,Home,Curtains,17210.8
P0245,Novel,Books,Novel,42504.23
P0246,Shirt,Clothing,Shirt,27538.34
P0247,Jacket,Clothing,Jacket,47736.74
P0248,Shoes,Clothing,Shoes,4506.08
P0249,Table,Home,Table,18914.77
P0250,Tv,Electronics,TV,25129.71
P0251,Camera,Electronics,Camera,3211.48
P0252,Laptop,Electronics,Laptop,22713.93
P0253,Jacket,Clothing,Jacket,9266.79
P0254,Lamp,Home,Lamp,18606.97
P0255,Lamp,Home,Lamp,34234.67
P0256,Camera,Electronics,Camera,22185.71
P0257,Curtains,Home,Curtains,39182.7
P0258,Comics,Books,Comics,32914.91
P0259,Comics,Books,Comics,36307.44
P0260,Shirt,Clothing,Shirt,9045.87
P0261,Magazine,Books,Magazine,22049.75
P0262,Mobile,Electronics,Mobile,27341.17
P0263,Novel,Books,Novel,31121.8
P0264,Curtains,Home,Curtains,19341.56
P0265,Jacket,Clothing,Jacket,9163.87
P0266,T-Shirt,Clothing,T-Shirt,27469.93
P0267,Jacket,Clothing,Jacket,8687.4
P0268,Jacket,Clothing,Jacket,25996.55
P0269,Shoes,Clothing,Shoes,2045.2
P0270,Biography,Books,Biography,29118.4
P0271,Sofa,Home,Sofa,16372.04
P0272,Biography,Books,Biography,19013.17
P0273,Sofa,Home,Sofa,41714.05
P0274,Education,Books,Education,38914.46
P0275,Jacket,Clothing,Jacket,39929.29
P0276,Education,Books,Education,42972.94
P0277,Sofa,Home,Sofa,9015.26
P0278,Camera,Electronics,Camera,39030.53
P0279,Chair,Home,Chair,9350.08
P0280,Chair,Home,Chair,44221.4
P0281,Novel,Books,Novel,27339.82
P0282,Jeans,Clothing,Jeans,10826.48
P0283,Jacket,Clothing,Jacket,34344.48
P0284,Jacket,Clothing,Jacket,29972.92
P0285,Shoes,Clothing,Shoes,5659.16
P0286,Magazine,Books,Magazine,37594.89
P0287,Shirt,Clothing,Shirt,46232.19
P0288,Speaker,Electronics,Speaker,16732.73
P0289,Table,Home,Table,46448.21
P0290,Sofa,Home,Sofa,18180.81
P0291,Education,Books,Education,37867.05
P0292,Chair,Home,Chair,20860.59
P0293,Shirt,Clothing,Shirt,22304.73
P0294,Curtains,Home,Curtains,18660.44
P0295,Table,Home,Table,40968.19
P0296,Tv,Electronics,TV,9976.07
P0297,T-Shirt,Clothing,T-Shirt,14554.29
P0298,Laptop,Electronics,Laptop,14771.03
P0299,Comics,Books,Comics,38486.44
P0300,Chair,Home,Chair,46005.48
P0301,Laptop,Electronics,Laptop,39134.2
P0302,Magazine,Books,Magazine,28303.96
P0303,Biography,Books,Biography,11876.27
P0304,Sofa,Home,Sofa,41108.83
P0305,Shirt,Clothing,Shirt,29351.4
P0306,Camera,Electronics,Camera,25815.14
P0307,Mobile,Electronics,Mobile,5848.11
P0308,Chair,Home,Chair,32409.47
P0309,Magazine,Books,Magazine,11678.16
P0310,Education,Books,Education,44315.16
P0311,Table,Home,Table,39829.09
P0312,Biography,Books,Biography,18270.01
P0313,Novel,Books,Novel,22421.61
P0314,Comics,Books,Comics,30071.12
P0315,Table,Home,Table,19648.64
P0316,Biography,Books,Biography,45597.96
P0317,Curtains,Home,Curtains,8398.36
P0318,Laptop,Electronics,Laptop,29576.53
P0319,Mobile,Electronics,Mobile,24326.65
P0320,Shoes,Clothing,Shoes,47898.97
P0321,Shirt,Clothing,Shirt,30090.21
P0322,Comics,Books,Comics,34305.59
P0323,Magazine,Books,Magazine,25012.8
P0324,Biography,Books,Biography,26209.62
P0325,Novel,Books,Novel,29643.1
P0326,Chair,Home,Chair,28515.69
P0327,Shoes,Clothing,Shoes,34740.96
P0328,Biography,Books,Biography,46254.07
P0329,Camera,Electronics,Camera,38187.29
P0330,Speaker,Electronics,Speaker,1327.63
P0331,Novel,Books,Novel,2086.97
P0332,Jacket,Clothing,Jacket,36307.18
P0333,Camera,Electronics,Camera,11042.11
P0334,Biography,Books,Biography,20126.06
P0335,Shoes,Clothing,Shoes,39442.85
P0336,Sofa,Home,Sofa,6773.31
P0337,Chair,Home,Chair,23878.9
P0338,Lamp,Home,Lamp,5549.41
P0339,T-Shirt,Clothing,T-Shirt,34880.98
P0340,Camera,Electronics,Camera,36344.27
P0341,Magazine,Books,Magazine,28674.26
P0342,Novel,Books,Novel,46922.35
P0343,Comics,Books,Comics,5242.17
P0344,Camera,Electronics,Camera,998.49
P0345,Jeans,Clothing,Jeans,16789.4
P0346,Shirt,Clothing,Shirt,5761.91
P0347,Curtains,Home,Curtains,27996.98
P0348,Comics,Books,Comics,9997.44
P0349,Speaker,Electronics,Speaker,29875.65
P0350,Camera,Electronics,Camera,8898.35
P0351,Jeans,Clothing,Jeans,25723.47
P0352,Magazine,Books,Magazine,42205.01
P0353,Chair,Home,Chair,32368.76
P0354,Jacket,Clothing,Jacket,14557.52
P0355,Sofa,Home,Sofa,31286.03
P0356,T-Shirt,Clothing,T-Shirt,42640.8
P0357,Curtains,Home,Curtains,2604.97
P0358,Camera,Electronics,Camera,15876.68
P0359,Novel,Books,Novel,11094.28
P0360,Jeans,Clothing,Jeans,46355.21
P0361,Education,Books,Education,31617.05
P0362,Sofa,Home,Sofa,30111.66
P0363,Novel,Books,Novel,46437.15
P0364,Chair,Home,Chair,5250.01
P0365,Education,Books,Education,1674.49
P0366,Curtains,Home,Curtains,7672.97
P0367,Camera,Electronics,Camera,35877.55
P0368,Mobile,Electronics,Mobile,26866.89
P0369,Curtains,Home,Curtains,28681.73
P0370,Jacket,Clothing,Jacket,15144.61
P0371,Speaker,Electronics,Speaker,14946.8
P0372,Shoes,Clothing,Shoes,2397.12
P0373,Shirt,Clothing,Shirt,19359.69
P0374,Sofa,Home,Sofa,36948.99
P0375,Novel,Books,Novel,4030.05
P0376,Shoes,Clothing,Shoes,3104.56
P0377,Curtains,Home,Curtains,31020.83
P0378,Laptop,Electronics,Laptop,7969.16
P0379,Mobile,Electronics,Mobile,12225.57
P0380,Sofa,Home,Sofa,40040.99
P0381,Jeans,Clothing,Jeans,35384.21
P0382,Magazine,Books,Magazine,33425.76
P0383,Novel,Books,Novel,33803.35
P0384,Comics,Books,Comics,19921.55
P0385,Magazine,Books,Magazine,6134.02
P0386,T-Shirt,Clothing,T-Shirt,18347.17
P0387,Laptop,Electronics,Laptop,31275.66
P0388,Comics,Books,Comics,30855.14
P0389,Lamp,Home,Lamp,47224.39
P0390,Jacket,Clothing,Jacket,6491.32
P0391,Shirt,Clothing,Shirt,23090.46
P0392,Shoes,Clothing,Shoes,165.32
P0393,Speaker,Electronics,Speaker,49271.05
P0394,Curtains,Home,Curtains,21197.37
P0395,Shirt,Clothing,Shirt,11038.03
P0396,Tv,Electronics,TV,41982.18
P0397,Chair,Home,Chair,36151.55
P0398,T-Shirt,Clothing,T-Shirt,18327.99
P0399,Biography,Books,Biography,32668.85
P0400,Laptop,Electronics,Laptop,40653.66
P0401,Shirt,Clothing,Shirt,47651.21
P0402,Magazine,Books,Magazine,5415.42
P0403,Jeans,Clothing,Jeans,3090.75
P0404,Shirt,Clothing,Shirt,24775.95
P0405,Curtains,Home,Curtains,39000.27
P0406,Tv,Electronics,TV,2039.69
P0407,Shoes,Clothing,Shoes,847.19
P0408,Comics,Books,Comics,35307.94
P0409,Mobile,Electronics,Mobile,15351.49
P0410,Lamp,Home,Lamp,5869.74
P0411,Chair,Home,Chair,17315.98
P0412,Chair,Home,Chair,41405.98
P0413,Comics,Books,Comics,8856.07
P0414,Jeans,Clothing,Jeans,30842.26
P0415,Tv,Electronics,TV,38603.76
P0416,Shirt,Clothing,Shirt,27363.46
P0417,Jeans,Clothing,Jeans,7211.83
P0418,Speaker,Electronics,Speaker,7557.24
P0419,Novel,Books,Novel,17782.85
P0420,Table,Home,Table,13452.91
P0421,Lamp,Home,Lamp,45859.32
P0422,Biography,Books,Biography,34547.06
P0423,Novel,Books,Novel,37257.86
P0424,Lamp,Home,Lamp,18255.41
P0425,Magazine,Books,Magazine,17544.81
P0426,Education,Books,Education,14366.22
P0427,Laptop,Electronics,Laptop,39131.63
P0428,Chair,Home,Chair,33811.08
P0429,Jacket,Clothing,Jacket,859.25
P0430,Jacket,Clothing,Jacket,12996.45
P0431,Tv,Electronics,TV,46802.39
P0432,Magazine,Books,Magazine,23898.9
P0433,Novel,Books,Novel,695.24
P0434,Chair,Home,Chair,46593.52
P0435,Novel,Books,Novel,40943.53
P0436,Shirt,Clothing,Shirt,19397.76
P0437,Sofa,Home,Sofa,21177.78
P0438,Jeans,Clothing,Jeans,49956.04
P0439,Novel,Books,Novel,44630.63
P0440,Jeans,Clothing,Jeans,14256.49
P0441,Table,Home,Table,10442.55
P0442,Novel,Books,Novel,47257.98
P0443,Lamp,Home,Lamp,10629.72
P0444,Camera,Electronics,Camera,1963.03
P0445,Speaker,Electronics,Speaker,37364.27
P0446,Laptop,Electronics,Laptop,11051.69
P0447,Comics,Books,Comics,25184.2
P0448,Lamp,Home,Lamp,37170.82
P0449,Chair,Home,Chair,21021.97
P0450,Tv,Electronics,TV,12014.92
P0451,Laptop,Electronics,Laptop,24092.36
P0452,Novel,Books,Novel,28156.26
P0453,Speaker,Electronics,Speaker,35483.6
P0454,Curtains,Home,Curtains,5308.76
P0455,Jacket,Clothing,Jacket,22896.23
P0456,T-Shirt,Clothing,T-Shirt,7088.27
P0457,Tv,Electronics,TV,3270.39
P0458,Tv,Electronics,TV,37737.46
P0459,Speaker,Electronics,Speaker,22482.48
P0460,Magazine,Books,Magazine,28664.45
P0461,Magazine,Books,Magazine,48372.35
P0462,Table,Home,Table,24157.05
P0463,Camera,Electronics,Camera,16351.46
P0464,Magazine,Books,Magazine,20007.61
P0465,Comics,Books,Comics,13546.31
P0466,Chair,Home,Chair,39762.54
P0467,Comics,Books,Comics,34781.51
P0468,Magazine,Books,Magazine,35694.46
P0469,Speaker,Electronics,Speaker,19496.08
P0470,Jeans,Clothing,Jeans,8512.97
P0471,Jeans,Clothing,Jeans,1422.21
P0472,Comics,Books,Comics,12714.29
P0473,Comics,Books,Comics,11512.79
P0474,Education,Books,Education,2592.13
P0475,Table,Home,Table,42112.14
P0476,Chair,Home,Chair,4614.27
P0477,Shirt,Clothing,Shirt,19271.43
P0478,Camera,Electronics,Camera,21795.92
P0479,Mobile,Electronics,Mobile,44021.27
P0480,Curtains,Home,Curtains,36875.64
P0481,T-Shirt,Clothing,T-Shirt,46291.12
P0482,T-Shirt,Clothing,T-Shirt,39197.32
P0483,Shirt,Clothing,Shirt,38149.49
P0484,Camera,Electronics,Camera,9649.62
P0485,Curtains,Home,Curtains,10080.62
P0486,Shirt,Clothing,Shirt,930.86
P0487,Comics,Books,Comics,41431.56
P0488,Shirt,Clothing,Shirt,30972.64
P0489,Chair,Home,Chair,17555.3
P0490,Curtains,Home,Curtains,20304.72
P0491,Sofa,Home,Sofa,39384.63
P0492,Table,Home,Table,42080.94
P0493,Biography,Books,Biography,31849.68
P0494,Tv,Electronics,TV,49638.23
P0495,Speaker,Electronics,Speaker,47379.27
P0496,Shirt,Clothing,Shirt,44256.25
P0497,Education,Books,Education,981.76
P0498,Table,Home,Table,4953.35
P0499,Chair,Home,Chair,44536.25
P0500,T-Shirt,Clothing,T-Shirt,29895.0
