item_id,order_id,product_id,quantity,unit_price,discount_percent
I00083,O0330,P0268,5,4458.43,30.91
I00084,O0380,P0457,4,3936.02,16.5
I00085,O0463,P0291,2,3660.2,34.42
I00086,O0215,P0054,3,1171.01,35.36
I00087,O0185,P0213,3,4006.45,65.78
I00088,O0455,P0457,1,5518.74,39.54
I00089,O0111,P0110,3,8147.24,62.27
I00090,O0492,P0331,3,888.9,12.24
I00091,O0366,P0414,4,1823.55,12.1
I00092,O0367,P0388,5,332.79,79.88
I00093,O0018,P0135,5,3151.5,64.6
I00094,O0306,P0173,2,5565.78,94.97
I00095,O0400,P0357,3,4668.08,91.66
I00096,O0194,P0130,4,8284.19,18.45
I00097,O0441,P0202,1,9276.57,67.32
I00098,O0100,P0222,5,4317.69,81.55
I00099,O0121,P0389,2,6558.11,91.32
I00100,O0308,P0298,3,638.96,86.98
I00101,O0464,P0425,1,9271.37,66.17
I00102,O0445,P0336,1,2980.99,3.89
I00103,O0273,P0164,3,5631.25,95.24
I00104,O0401,P0262,1,1679.43,26.9
I00105,O0248,P0256,3,1299.23,14.12
I00106,O0364,P0060,3,3717.56,1.8
I00107,O0057,P0128,4,3704.8,71.36
I00108,O0500,P0476,1,5119.8,48.35
I00109,O0354,P0206,5,7291.54,77.09
I00110,O0028,P0062,3,1599.74,21.07
I00111,O0054,P0145,1,632.88,23.35
I00112,O0295,P0325,1,983.48,33.62
I00113,O0204,P0114,4,9360.68,15.1
I00114,O0452,P0342,-3,2784.38,90.91
I00115,O0467,P0080,1,4653.97,67.92
I00116,O0496,P0404,2,9543.18,72.82
I00117,O0487,P0182,4,4012.5,0.65
I00118,O0256,P0375,5,875.42,88.33
I00119,O0037,P0193,3,9419.54,68.62
I00120,O0055,P0188,1,3338.26,78.56
I00121,O0117,P0185,4,2354.21,86.4
I00122,O0351,P0087,3,4398.61,9.43
I00123,O0040,P0168,1,8024.84,11.33
I00124,O0053,P0368,5,5062.01,69.45
I00125,O0381,P0242,1,4133.34,86.14
I00126,O0276,P0079,4,2447.46,68.14
I00127,O0104,P0067,2,3934.11,85.69
I00128,O0405,P0099,4,1404.59,11.41
I00129,O0334,P0114,3,5247.39,20.11
I00130,O0161,P0351,2,8426.59,98.57
I00131,O0175,P0467,1,520.93,19.26
I00132,O0067,P0328,5,1335.73,73.57
I00133,O0205,P0379,-2,7956.16,93.93
I00134,O0103,P0295,4,7848.88,76.62
I00135,O0014,P0065,2,7893.74,88.06
I00136,O0001,P0080,5,921.23,17.35
I00137,O0351,P0343,3,9513.6,54.09
I00138,O0382,P0006,5,2575.61,91.27
I00139,O0313,P0418,1,3945.07,76.01
I00140,O0161,P0420,1,2481.47,45.03
I00141,O0185,P0387,5,1629.38,79.0
I00142,O0037,P0281,4,5565.14,10.26
I00143,O0428,P0333,4,6421.3,79.02
I00144,O0304,P0041,1,3563.51,62.87
I00145,O0082,P0417,2,549.05,59.86
I00146,O0011,P0133,1,6859.89,42.39
I00147,O0086,P0028,4,3677.74,45.62
I00148,O0471,P0371,2,3293.77,20.08
I00149,O0044,P0194,4,2967.87,3.36
I00150,O0429,P0371,2,6275.3,75.3
I00151,O0319,P0237,5,7782.22,65.44
I00152,O0442,P0445,2,9253.25,44.78
I00153,O0056,P0369,2,5430.78,12.58
I00154,O0126,P0366,4,6196.96,46.53
I00155,O0179,P0441,4,3759.46,63.61
I00156,O0175,P0282,1,4861.42,84.67
I00157,O0058,P0194,3,6139.36,62.28
I00158,O0348,P0350,3,2378.69,70.13
I00159,O0397,P0242,3,385.61,83.38
I00160,O0417,P0128,3,7512.02,56.7
I00161,O0164,P0202,2,4277.3,4.85
I00162,O0004,P0353,1,6557.27,63.11
I00163,O0298,P0358,4,7892.62,79.45
I00164,O0036,P0009,1,3340.31,62.73
I00165,O0481,P0471,5,8185.77,59.52
I00166,O0327,P0048,5,6641.93,7.1
I00167,O0090,P0393,4,1980.29,20.58
I00168,O0042,P0440,2,1900.65,51.28
I00169,O0482,P0166,4,8086.93,56.44
I00170,O0213,P0247,2,5715.64,75.71
I00171,O0342,P0197,5,2961.9,60.52
I00172,O0307,P0242,2,5153.98,66.41
I00173,O0313,P0241,4,5744.6,1.34
I00174,O0372,P0345,2,2199.38,22.78
I00175,O0079,P0165,1,5364.74,58.71
I00176,O0166,P0117,1,7292.02,45.51
I00177,O0481,P0066,5,8188.55,78.03
I00178,O0219,P0137,3,5289.17,6.34
I00179,O0481,P0460,1,786.31,75.97
I00180,O0125,P0132,5,8871.11,56.08
I00181,O0055,P0251,4,2161.76,66.83
I00182,O0445,P0394,3,5274.85,54.94
I00183,O0215,P0262,1,4111.38,2.06
I00184,O0059,P0212,1,253.84,24.04
I00185,O0275,P0361,5,2761.95,64.26
I00186,O0425,P0486,1,3043.27,91.19
I00187,O0059,P0146,1,9075.63,71.17
I00188,O0072,P0406,4,700.49,82.59
I00189,O0160,P0019,2,1456.47,65.47
I00190,O0198,P0068,2,9635.37,66.31
I00191,O0232,P0489,3,9239.0,71.93
I00192,O0367,P0039,5,9644.49,6.66
I00193,O0478,P0184,5,1570.14,17.64
I00194,O0136,P0476,2,9230.66,36.65
I00195,O0496,P0178,3,7166.41,67.86
I00196,O0361,P0205,2,4270.33,86.88
I00197,O0239,P0363,1,888.4,83.29
I00198,O0203,P0376,4,7439.21,59.6
I00199,O0368,P0172,3,1770.35,37.26
I00200,O0220,P0407,3,4704.57,99.98
I00201,O0213,P0061,3,8613.86,16.92
I00202,O0105,P0299,2,6260.87,52.23
I00203,O0449,P0110,4,6597.96,33.3
I00204,O0402,P0091,5,8773.59,7.56
I00205,O0129,P0139,3,7199.2,59.61
I00206,O0022,P0264,5,9726.29,88.77
I00207,O0355,P0104,2,6653.79,30.08
I00208,O0261,P0234,2,7897.08,12.43
I00209,O0416,P0131,1,6104.21,49.13
I00210,O0064,P0135,1,4399.04,47.4
I00211,O0476,P0330,3,8862.21,15.24
I00212,O0201,P0280,5,811.06,88.25
I00213,O0386,P0117,2,9148.74,62.92
I00214,O0405,P0262,4,2540.53,95.79
I00215,O0202,P0034,5,4669.99,91.7
I00216,O0248,P0444,2,237.45,12.32
I00217,O0412,P0147,1,4141.2,30.34
I00218,O0334,P0089,4,9838.06,80.22
I00219,O0001,P0301,3,2306.64,86.26
I00220,O0314,P0038,1,7999.73,6.35
I00221,O0345,P0072,1,752.16,13.27
I00222,O0223,P0133,3,3935.19,6.37
I00223,O0217,P0492,1,9532.58,62.59
I00224,O0037,P0495,4,3189.29,79.75
I00225,O0158,P0395,3,9482.6,34.49
I00226,O0045,P0302,5,7576.41,33.69
I00227,O0455,P0081,2,8370.72,45.75
I00228,O0185,P0409,4,2892.27,76.25
I00229,O0110,P0083,3,9042.73,36.91
I00230,O0125,P0303,2,3819.74,86.53
I00231,O0267,P0150,1,8270.06,44.61
I00232,O0249,P0481,4,2009.05,34.15
I00233,O0114,P0428,5,961.12,3.51
I00234,O0116,P0478,5,4339.43,50.24
I00235,O0261,P0332,2,5843.51,30.77
I00236,O0152,P0430,5,9229.43,24.91
I00237,O0228,P0012,2,9665.54,40.75
I00238,O0123,P0110,1,6339.32,7.54
I00239,O0311,P0125,5,5428.96,27.71
I00240,O0497,P0157,5,9478.01,89.24
I00241,O0139,P0097,5,1300.95,51.14
I00242,O0130,P0420,4,2815.86,24.93
I00243,O0435,P0037,3,9248.98,82.96
I00244,O0219,P0045,2,887.17,32.2
I00245,O0036,P0448,2,2206.82,22.82
I00246,O0275,P0163,1,4031.51,53.06
I00247,O0444,P0365,1,1104.01,40.94
I00248,O0137,P0457,1,4940.04,92.04
I00249,O0483,P0202,1,2187.01,90.46
I00250,O0108,P0321,3,1709.02,98.45
I00251,O0162,P0108,5,9646.17,35.93
I00252,O0061,P0347,3,3412.13,88.01
I00253,O0428,P0328,5,6719.76,49.75
I00254,O0049,P0304,2,8533.26,94.73
I00255,O0378,P0135,3,921.67,6.1
I00256,O0233,P0339,3,7745.13,38.07
I00257,O0148,P0490,2,2138.25,55.87
I00258,O0496,P0137,-2,6262.99,61.59
I00259,O0255,P0421,2,2863.35,79.8
I00260,O0171,P0247,3,2996.39,52.26
I00261,O0112,P0303,3,2077.48,58.43
I00262,O0008,P0214,5,6622.11,34.67
I00263,O0076,P0363,3,3936.48,28.55
I00264,O0356,P0188,3,2580.64,86.41
I00265,O0354,P0477,4,6004.69,26.26
I00266,O0409,P0425,4,4408.65,98.73
I00267,O0356,P0271,5,3389.25,98.61
I00268,O0311,P0460,-3,5614.27,11.68
I00269,O0388,P0397,1,9040.24,43.82
I00270,O0026,P0299,1,6796.67,3.11
I00271,O0108,P0336,4,1401.94,53.36
I00272,O0403,P0102,5,5257.21,34.47
I00273,O0420,P0377,1,4923.04,30.61
I00274,O0297,P0057,5,4989.33,61.64
I00275,O0070,P0077,3,9307.13,29.85
I00276,O0021,P0457,4,3903.42,89.1
I00277,O0100,P0261,1,1547.34,4.8
I00278,O0396,P0001,1,1036.68,80.64
I00279,O0092,P0222,1,765.62,39.72
I00280,O0294,P0422,1,1894.36,8.99
I00281,O0187,P0101,2,1824.72,42.6
I00282,O0330,P0194,5,815.89,43.26
I00283,O0358,P0337,3,2392.52,20.62
I00284,O0372,P0427,3,1605.15,44.09
I00285,O0285,P0216,1,2136.86,17.55
I00286,O0141,P0267,4,6928.09,95.25
I00287,O0292,P0111,4,7394.01,68.44
I00288,O0212,P0056,3,2227.61,25.96
I00289,O0323,P0412,3,3553.08,74.47
I00290,O0372,P0014,5,2103.53,97.97
I00291,O0340,P0267,5,4780.96,8.06
I00292,O0104,P0452,4,3951.21,56.23
I00293,O0085,P0213,3,7399.35,99.28
I00294,O0015,P0184,4,7141.08,88.2
I00295,O0048,P0347,5,6096.78,63.33
I00296,O0492,P0266,3,8075.12,55.65
I00297,O0027,P0395,5,351.99,28.84
I00298,O0126,P0181,2,9508.08,36.18
I00299,O0310,P0139,1,3995.25,86.42
I00300,O0443,P0382,1,3228.92,82.53
I00301,O0488,P0376,1,6899.04,83.5
I00302,O0381,P0280,3,739.87,78.33
I00303,O0349,P0227,4,4407.24,38.37
I00304,O0283,P0166,2,3104.49,85.27
I00305,O0295,P0043,4,6644.99,91.3
I00306,O0312,P0002,1,1698.37,61.31
I00307,O0336,P0054,2,4519.92,8.64
I00308,O0467,P0348,4,8744.16,34.36
I00309,O0132,P0314,3,4361.94,80.97
I00310,O0073,P0279,3,1167.56,6.89
I00311,O0488,P0395,1,3913.18,48.72
I00312,O0384,P0190,2,2021.78,92.55
I00313,O0310,P0417,3,8115.32,34.94
I00314,O0041,P0435,3,7200.15,95.38
I00315,O0004,P0062,-3,2893.6,79.35
I00316,O0442,P0434,5,2761.66,9.26
I00317,O0414,P0292,2,3215.88,58.25
I00318,O0424,P0165,2,1644.43,15.8
I00319,O0144,P0397,2,947.33,76.79
I00320,O0162,P0276,4,2288.21,85.17
I00321,O0345,P0288,1,7868.94,82.66
I00322,O0111,P0049,5,2080.22,82.04
I00323,O0063,P0287,4,6271.07,25.75
I00324,O0318,P0099,2,8959.15,93.23
I00325,O0009,P0084,4,3331.94,51.53
I00326,O0158,P0424,5,4680.63,1.3
I00327,O0125,P0375,3,3538.09,17.09
I00328,O0095,P0168,3,665.22,41.5
I00329,O0284,P0240,4,1194.37,73.85
I00330,O0076,P0031,4,2832.13,29.08
I00331,O0285,P0195,2,9708.88,45.83
I00332,O0157,P0230,3,4666.13,11.13
I00333,O0063,P0099,3,9796.11,41.49
I00334,O0277,P0467,3,1434.15,84.24
I00335,O0226,P0414,3,5219.99,46.14
I00336,O0044,P0456,5,3593.81,37.61
I00337,O0431,P0235,4,2269.67,84.85
I00338,O0477,P0120,5,3890.96,35.88
I00339,O0168,P0060,3,3633.34,40.25
I00340,O0368,P0461,3,2615.52,75.08
I00341,O0283,P0109,4,7303.65,23.76
I00342,O0065,P0247,4,8974.07,7.18
I00343,O0079,P0045,4,6807.15,47.23
I00344,O0196,P0126,5,7638.68,69.57
I00345,O0371,P0111,2,5273.35,78.05
I00346,O0091,P0180,3,7318.77,81.27
I00347,O0428,P0090,5,759.14,46.79
I00348,O0110,P0038,1,7130.79,52.37
I00349,O0146,P0247,4,9037.59,12.15
I00350,O0440,P0260,2,1846.85,65.54
I00351,O0091,P0039,1,9625.55,32.76
I00352,O0359,P0432,3,4598.21,85.0
I00353,O0094,P0103,1,3653.86,89.2
I00354,O0321,P0019,3,8293.84,90.09
I00355,O0116,P0360,5,1158.69,58.73
I00356,O0075,P0137,5,4737.46,31.73
I00357,O0282,P0188,2,6632.91,40.25
I00358,O0336,P0466,1,2562.88,52.94
I00359,O0497,P0242,4,4067.96,81.32
I00360,O0028,P0024,4,8904.66,36.63
I00361,O0364,P0242,4,5598.62,40.65
I00362,O0101,P0300,5,5066.38,80.04
I00363,O0219,P0177,3,9209.89,85.63
I00364,O0444,P0459,1,766.3,14.08
I00365,O0242,P0220,2,4068.7,99.68
I00366,O0394,P0286,2,3246.19,79.51
I00367,O0362,P0279,4,2765.88,36.27
I00368,O0079,P0157,2,3916.87,68.39
I00369,O0131,P0460,2,7976.9,82.78
I00370,O0185,P0475,2,4730.89,16.88
I00371,O0317,P0413,3,2334.77,36.93
I00372,O0178,P0147,3,4207.06,75.59
I00373,O0464,P0068,3,864.79,99.13
I00374,O0177,P0438,4,3552.99,66.56
I00375,O0073,P0088,1,9153.56,42.66
I00376,O0407,P0125,3,7403.67,78.93
I00377,O0173,P0047,1,2699.67,83.76
I00378,O0088,P0403,1,7340.59,37.89
I00379,O0215,P0256,3,5669.33,62.76
I00380,O0019,P0339,4,4163.4,67.84
I00381,O0363,P0443,4,7094.29,52.38
I00382,O0269,P0112,4,4441.93,33.98
I00383,O0386,P0129,1,3087.77,5.4
I00384,O0051,P0227,-1,1876.13,44.5
I00385,O0360,P0067,4,3899.62,33.61
I00386,O0323,P0497,1,7040.94,61.34
I00387,O0083,P0175,4,1956.98,25.9
I00388,O0045,P0467,4,2077.43,48.94
I00389,O0311,P0206,5,352.37,31.77
I00390,O0460,P0239,5,4139.12,20.13
I00391,O0417,P0119,4,1175.78,19.13
I00392,O0436,P0082,2,4326.31,57.92
I00393,O0364,P0285,2,2710.17,32.73
I00394,O0431,P0450,4,8198.74,91.28
I00395,O0427,P0227,1,4683.59,46.57
I00396,O0446,P0472,2,8096.64,97.5
I00397,O0159,P0035,2,4247.07,39.85
I00398,O0076,P0051,2,6099.21,64.46
I00399,O0312,P0111,3,9891.81,12.62
I00400,O0060,P0189,4,1358.4,38.96
I00401,O0359,P0398,2,8894.17,32.72
I00402,O0298,P0180,3,8935.89,91.03
I00403,O0159,P0445,1,6897.92,37.03
I00404,O0012,P0336,-1,9175.69,9.06
I00405,O0162,P0063,2,4477.93,1.32
I00406,O0116,P0435,4,7444.39,85.71
I00407,O0392,P0137,5,6584.99,14.95
I00408,O0298,P0209,4,7505.0,87.47
I00409,O0259,P0229,3,8365.26,22.37
I00410,O0097,P0061,2,8730.7,40.79
I00411,O0182,P0129,2,3607.58,46.81
I00412,O0079,P0338,5,5883.51,38.54
I00413,O0244,P0378,2,4325.0,24.02
I00414,O0317,P0082,2,6001.02,24.54
I00415,O0455,P0150,3,5015.01,92.42
I00416,O0393,P0490,1,6911.33,42.76
I00417,O0381,P0102,5,8489.27,85.38
I00418,O0385,P0371,3,9599.48,32.28
I00419,O0456,P0489,1,626.26,96.67
I00420,O0019,P0195,5,9368.57,37.83
I00421,O0392,P0481,4,8457.51,18.83
I00422,O0480,P0078,3,6820.62,37.22
I00423,O0451,P0142,2,1375.57,4.44
I00424,O0134,P0061,2,2473.6,19.31
I00425,O0469,P0428,2,8356.29,19.85
I00426,O0458,P0440,4,305.63,37.56
I00427,O0471,P0494,4,7060.76,34.33
I00428,O0290,P0356,1,8958.28,13.64
I00429,O0261,P0202,1,4483.93,20.22
I00430,O0267,P0109,1,6693.21,24.6
I00431,O0393,P0052,1,9414.62,87.45
I00432,O0381,P0301,1,5573.56,44.21
I00433,O0499,P0091,1,5303.15,91.17
I00434,O0146,P0485,5,2777.5,63.87
I00435,O0374,P0176,2,6484.19,82.4
I00436,O0016,P0166,4,5031.8,10.55
I00437,O0306,P0074,3,7254.47,65.55
I00438,O0238,P0173,1,3516.52,62.24
I00439,O0326,P0469,4,9746.38,86.02
I00440,O0026,P0322,3,2749.12,86.63
I00441,O0479,P0483,3,2345.97,59.29
I00442,O0333,P0460,5,6387.4,76.24
I00443,O0116,P0140,5,8975.39,71.64
I00444,O0486,P0350,4,9391.26,15.59
I00445,O0190,P0042,1,3248.81,41.26
I00446,O0328,P0134,2,9403.2,84.67
I00447,O0406,P0421,5,5676.27,44.18
I00448,O0231,P0220,3,1917.14,29.56
I00449,O0186,P0369,1,3326.23,94.89
I00450,O0351,P0156,5,2280.11,31.18
I00451,O0170,P0356,3,4927.66,65.75
I00452,O0468,P0110,5,3844.34,48.62
I00453,O0296,P0484,2,8725.43,67.13
I00454,O0246,P0211,2,526.95,31.64
I00455,O0357,P0313,4,9980.16,54.18
I00456,O0087,P0364,3,8964.0,20.25
I00457,O0098,P0182,3,4482.01,6.36
I00458,O0178,P0345,5,8745.56,78.86
I00459,O0259,P0055,4,3749.73,8.07
I00460,O0473,P0286,1,3126.99,32.61
I00461,O0076,P0265,1,4126.99,98.69
I00462,O0411,P0026,1,1582.77,13.37
I00463,O0042,P0414,4,9097.57,11.27
I00464,O0103,P0417,4,5746.83,70.7
I00465,O0336,P0249,1,1705.59,99.6
I00466,O0191,P0243,-1,3821.39,48.71
I00467,O0146,P0122,2,2873.82,49.05
I00468,O0247,P0478,5,2579.7,64.44
I00469,O0216,P0044,1,5392.86,96.95
I00470,O0158,P0229,3,4348.51,65.11
I00471,O0311,P0459,2,5723.25,78.42
I00472,O0378,P0196,1,3769.92,56.54
I00473,O0114,P0059,2,442.21,20.42
I00474,O0204,P0008,1,931.68,7.61
I00475,O0025,P0094,4,9927.59,50.76
I00476,O0431,P0426,1,2304.86,69.43
I00477,O0419,P0320,2,5220.76,17.73
I00478,O0104,P0288,1,7685.1,82.76
I00479,O0447,P0277,3,7319.23,39.16
I00480,O0108,P0323,3,1902.01,90.33
I00481,O0263,P0315,3,6611.03,12.9
I00482,O0146,P0139,1,5298.01,65.91
I00483,O0447,P0208,3,1105.16,34.87
I00484,O0259,P0095,5,3930.72,26.78
I00485,O0336,P0185,3,4998.49,87.08
I00486,O0046,P0011,5,9888.34,41.23
I00487,O0030,P0406,3,866.2,10.03
I00488,O0027,P0122,5,4133.15,21.48
I00489,O0081,P0126,3,7013.87,42.78
I00490,O0001,P0127,3,8624.13,30.99
I00491,O0212,P0151,2,1817.74,23.88
I00492,O0197,P0144,1,9330.31,37.61
I00493,O0128,P0180,5,4134.04,9.73
I00494,O0270,P0043,4,4343.53,42.03
I00495,O0408,P0371,5,3369.92,34.96
I00496,O0060,P0202,2,3295.65,54.44
I00497,O0426,P0403,5,3629.05,26.9
I00498,O0323,P0472,4,2418.41,34.87
I00499,O0075,P0213,3,5403.85,47.93
I00500,O0338,P0328,1,5325.09,31.59
I00501,O0429,P0253,1,6043.7,13.4
I00502,O0482,P0479,4,5734.29,35.58
I00503,O0235,P0176,4,1144.51,9.12
I00504,O0247,P0280,1,375.5,50.3
I00505,O0174,P0075,1,5137.68,21.03
I00506,O0187,P0480,4,9371.71,20.65
I00507,O0343,P0185,2,7383.45,35.75
I00508,O0157,P0296,3,6913.74,26.82
I00509,O0317,P0465,3,300.9,80.95
I00510,O0441,P0308,2,1983.45,27.48
I00511,O0361,P0254,5,3780.21,26.51
I00512,O0258,P0368,5,2534.89,91.16
I00513,O0070,P0165,2,9637.24,2.78
I00514,O0085,P0364,1,2575.78,68.46
I00515,O0151,P0318,2,3142.0,40.99
I00516,O0498,P0280,1,3387.83,29.72
I00517,O0154,P0452,3,7483.35,1.56
I00518,O0079,P0302,1,7332.68,5.11
I00519,O0114,P0135,5,6628.04,42.72
I00520,O0075,P0464,1,9288.89,33.37
I00521,O0296,P0088,5,7749.02,42.1
I00522,O0057,P0217,5,8017.18,87.28
I00523,O0452,P0036,2,8680.35,0.97
I00524,O0177,P0400,5,4913.98,94.95
I00525,O0323,P0266,1,4659.84,32.82
I00526,O0018,P0226,2,2150.93,3.78
I00527,O0459,P0252,1,4813.26,1.03
I00528,O0141,P0219,4,9695.86,32.7
I00529,O0430,P0325,4,9250.5,78.53
I00530,O0263,P0425,1,5923.83,6.07
I00531,O0221,P0329,1,9028.4,28.27
I00532,O0317,P0111,4,4787.73,57.67
I00533,O0245,P0300,1,2412.44,93.88
I00534,O0072,P0042,2,7113.88,0.25
I00535,O0315,P0246,1,5096.51,50.89
I00536,O0418,P0197,-3,2787.74,87.01
I00537,O0228,P0404,2,5578.33,59.98
I00538,O0405,P0440,4,4862.91,95.69
I00539,O0173,P0160,4,4362.79,75.62
I00540,O0330,P0487,1,8323.41,84.37
I00541,O0461,P0368,4,1039.59,38.28
I00542,O0256,P0218,4,5437.92,4.34
I00543,O0295,P0139,2,7232.26,11.0
I00544,O0276,P0365,5,6469.19,88.17
I00545,O0431,P0124,-1,1017.39,71.11
I00546,O0389,P0241,1,9699.74,81.82
I00547,O0276,P0349,5,3642.92,84.47
I00548,O0061,P0015,1,6397.02,35.04
I00549,O0109,P0119,4,5851.46,61.96
I00550,O0079,P0193,3,1136.45,31.8
I00551,O0347,P0272,3,3253.07,3.45
I00552,O0108,P0412,4,2945.95,12.68
I00553,O0299,P0067,1,6582.28,14.38
I00554,O0103,P0383,3,1381.56,6.9
I00555,O0391,P0195,1,1942.85,19.68
I00556,O0202,P0416,-2,1463.65,77.13
I00557,O0487,P0280,1,1363.76,64.03
I00558,O0342,P0089,4,9246.33,3.89
I00559,O0366,P0264,3,643.85,82.47
I00560,O0346,P0028,4,9529.16,21.48
I00561,O0083,P0483,1,2410.08,1.74
I00562,O0281,P0171,1,318.07,73.15
I00563,O0495,P0044,3,4774.4,13.82
I00564,O0311,P0470,5,7621.69,41.7
I00565,O0411,P0177,3,1828.76,60.43
I00566,O0103,P0390,3,3948.09,1.45
I00567,O0370,P0487,3,7416.45,21.73
I00568,O0007,P0456,5,6020.41,86.61
I00569,O0087,P0413,5,1372.05,19.53
I00570,O0373,P0188,2,4791.79,21.93
I00571,O0400,P0349,2,8185.98,37.52
I00572,O0156,P0135,1,9329.33,67.47
I00573,O0124,P0402,5,4220.07,84.72
I00574,O0135,P0439,3,5706.56,80.63
I00575,O0174,P0455,2,5468.25,27.57
I00576,O0381,P0050,1,860.67,39.93
I00577,O0001,P0306,4,8735.82,44.91
I00578,O0416,P0453,3,4601.91,40.23
I00579,O0145,P0098,3,5372.71,90.81
I00580,O0022,P0060,5,7962.11,56.87
I00581,O0412,P0497,-2,7304.16,26.37
I00582,O0486,P0310,3,4270.54,6.61
I00583,O0227,P0085,2,7557.61,38.67
I00584,O0031,P0192,1,6126.45,21.65
I00585,O0215,P0430,2,1160.83,96.6
I00586,O0456,P0077,5,5496.67,84.78
I00587,O0095,P0357,5,1327.41,5.82
I00588,O0336,P0060,5,9391.35,67.98
I00589,O0360,P0079,1,2733.06,18.7
I00590,O0386,P0174,3,5214.17,35.75
I00591,O0439,P0358,4,6827.46,99.45
I00592,O0419,P0046,3,3575.23,39.22
I00593,O0361,P0166,5,9494.22,75.62
I00594,O0226,P0079,1,6290.19,82.45
I00595,O0494,P0113,1,1368.74,28.41
I00596,O0045,P0120,2,3197.58,49.28
I00597,O0458,P0393,1,2326.43,42.97
I00598,O0282,P0421,3,355.58,62.01
I00599,O0153,P0344,2,2711.03,47.92
I00600,O0234,P0376,4,2410.49,0.6
I00601,O0015,P0487,2,9788.34,10.35
I00602,O0372,P0189,2,2599.9,26.54
I00603,O0480,P0469,4,1828.65,85.12
I00604,O0314,P0446,-3,4230.52,11.33
I00605,O0344,P0273,4,9162.66,66.64
I00606,O0109,P0472,5,4216.41,73.15
I00607,O0103,P0007,2,3650.17,51.87
